t,true_x,true_y,true_yaw,gps_x,gps_y,est_x,est_y,est_yaw
0.67,0.67,0,0,0.650611,-0.0121066,0.648736,-0.026244,-0.0639054
0.68,0.68,0,0,0.670708,-0.0350945,0.658879,-0.0268938,-0.0638028
0.69,0.69,0,0,0.69776,0.0369754,0.669015,-0.027542,-0.0636587
0.7,0.7,0,0,0.704993,0.0242267,0.697594,0.00883216,0.00120437
0.71,0.71,0,0,0.690304,-0.0233724,0.708089,0.00884433,0.00114144
0.72,0.72,0,0,0.719951,-0.012781,0.718586,0.00885584,0.001191
0.73,0.73,0,0,0.742411,0.0402627,0.729091,0.00886788,0.0011341
0.74,0.74,0,0,0.746093,0.00148718,0.739601,0.00887933,0.00125475
0.75,0.75,0,0,0.760805,0.051558,0.7501,0.00889203,0.00126704
0.76,0.76,0,0,0.789059,0.019372,0.760601,0.00890487,0.0010792
0.77,0.77,0,0,0.735558,-0.0180677,0.771101,0.00891573,0.00103146
0.78,0.78,0,0,0.727076,0.0449967,0.781579,0.00892606,0.00123599
0.79,0.79,0,0,0.791311,0.0322105,0.792048,0.00893853,0.00140524
0.8,0.8,0,0,0.761591,-0.0390481,0.773761,-0.0245627,-0.0502754
0.81,0.81,0,0,0.773445,-0.0348098,0.783744,-0.0250654,-0.0502224
0.82,0.82,0,0,0.808628,-0.0317874,0.793728,-0.0255675,-0.0500242
0.83,0.83,0,0,0.828944,0.00169676,0.80371,-0.0260676,-0.0499925
0.84,0.84,0,0,0.866005,0.0141311,0.813689,-0.0265672,-0.0499781
0.85,0.85,0,0,0.826867,0.0172852,0.823657,-0.0270662,-0.0499982
0.86,0.86,0,0,0.838923,-0.0357978,0.833625,-0.0275653,-0.050083
0.87,0.87,0,0,0.916884,0.0166692,0.843589,-0.028065,-0.0498633
0.88,0.88,0,0,0.901344,-0.00868134,0.853532,-0.0285615,-0.0497528
0.89,0.89,0,0,0.871487,-0.0377653,0.863453,-0.0290559,-0.0497505
0.9,0.9,0,0,0.899736,0.0135423,0.891675,0.000131267,-0.00868329
0.91,0.91,0,0,0.947259,-0.00257289,0.901879,4.24363e-05,-0.00850007
0.92,0.92,0,0,0.949625,0.0229261,0.912084,-4.45325e-05,-0.00832363
0.93,0.93,0,0,0.878113,0.0372514,0.922285,-0.000129674,-0.00827127
0.94,0.94,0,0,0.922523,0.00782719,0.932472,-0.000214157,-0.00824558
0.95,0.95,0,0,0.933208,0.0451508,0.94267,-0.000298475,-0.00819743
0.96,0.96,0,0,0.975958,0.0208905,0.952869,-0.000382308,-0.00816165
0.97,0.97,0,0,0.992271,0.0073037,0.963061,-0.00046572,-0.00822879
0.98,0.98,0,0,0.996576,0.00886651,0.973248,-0.000549768,-0.00803886
0.99,0.99,0,0,0.953685,-0.0484023,0.983453,-0.000632033,-0.00819538
1,1,0,0,0.943979,-0.0229437,0.959439,-0.0159345,-0.0282163
1.01,1.01,0,0,1.03484,0.0302968,0.969205,-0.0162103,-0.0282169
1.02,1.02,0,0,1.06926,-0.00116437,0.978976,-0.0164862,-0.0283049
1.03,1.03,0,0,1.03165,0.0751707,0.988739,-0.0167628,-0.0285225
1.04,1.04,0,0,1.04082,-0.00405301,0.998515,-0.0170419,-0.0285649
1.05,1.05,0,0,1.04664,0.0097927,1.0083,-0.0173217,-0.0285235
1.06,1.06,0,0,1.05193,-0.0131959,1.0181,-0.0176013,-0.0286696
1.07,1.07,0,0,1.0511,-0.00550407,1.0279,-0.0178826,-0.0285967
1.08,1.08,0,0,1.0658,0.0285565,1.0377,-0.0181631,-0.0286345
1.09,1.09,0,0,1.0661,0.0198233,1.04748,-0.0184435,-0.0284885
1.1,1.1,0,0,1.05333,-0.0835391,1.05458,-0.0627787,-0.0798196
1.11,1.11,0,0,1.14116,-0.0209465,1.06433,-0.0635584,-0.0799661
1.12,1.12,0,0,1.11889,0.0128834,1.07407,-0.0643395,-0.0801088
1.13,1.13,0,0,1.09819,-0.0335384,1.08381,-0.0651209,-0.0800879
1.14,1.14,0,0,1.20769,-0.0172076,1.09353,-0.0659016,-0.079971
1.15,1.15,0,0,1.15704,0.0545406,1.10324,-0.0666797,-0.0798972
1.16,1.16,0,0,1.15104,-0.0214743,1.11296,-0.0674583,-0.0798925
1.17,1.17,0,0,1.21245,0.00375138,1.12269,-0.0682372,-0.0799157
1.18,1.18,0,0,1.18077,-0.0423255,1.1324,-0.0690149,-0.0798743
1.19,1.19,0,0,1.2415,0.013229,1.14212,-0.0697929,-0.0798487
