t,true_x,true_y,true_yaw,gps_x,gps_y,est_x,est_y,est_yaw
0.67,0.67,0,0,0.650611,-0.0121066,0.636019,-0.0253447,-0.063689
0.68,0.68,0,0,0.670708,-0.0350945,0.645087,-0.025923,-0.0635864
0.69,0.69,0,0,0.69776,0.0369754,0.654147,-0.0264999,-0.0634423
0.7,0.7,0,0,0.704993,0.0242267,0.692959,0.00953982,0.0181863
0.71,0.71,0,0,0.690304,-0.0233724,0.702562,0.00971449,0.0181234
0.72,0.72,0,0,0.719951,-0.012781,0.712169,0.00988861,0.018173
0.73,0.73,0,0,0.742411,0.0402627,0.721783,0.0100634,0.0181161
0.74,0.74,0,0,0.746093,0.00148718,0.731403,0.0102376,0.0182367
0.75,0.75,0,0,0.760805,0.051558,0.741013,0.0104129,0.018249
0.76,0.76,0,0,0.789059,0.019372,0.750625,0.0105884,0.0180612
0.77,0.77,0,0,0.735558,-0.0180677,0.760238,0.010762,0.0180134
0.78,0.78,0,0,0.727076,0.0449967,0.769828,0.0109347,0.018218
0.79,0.79,0,0,0.791311,0.0322105,0.779409,0.0111093,0.0183872
0.8,0.8,0,0,0.761591,-0.0390481,0.769793,-0.0242561,-0.0486886
0.81,0.81,0,0,0.773445,-0.0348098,0.779036,-0.0247065,-0.0486355
0.82,0.82,0,0,0.808628,-0.0317874,0.788278,-0.0251564,-0.0484373
0.83,0.83,0,0,0.828944,0.00169676,0.797521,-0.0256044,-0.0484057
0.84,0.84,0,0,0.866005,0.0141311,0.80676,-0.026052,-0.0483913
0.85,0.85,0,0,0.826867,0.0172852,0.81599,-0.0264989,-0.0484114
0.86,0.86,0,0,0.838923,-0.0357978,0.825219,-0.0269461,-0.0484961
0.87,0.87,0,0,0.916884,0.0166692,0.834445,-0.0273939,-0.0482764
0.88,0.88,0,0,0.901344,-0.00868134,0.84365,-0.0278386,-0.0481659
0.89,0.89,0,0,0.871487,-0.0377653,0.852833,-0.0282813,-0.0481637
0.9,0.9,0,0,0.899736,0.0135423,0.88817,0.000673281,0.00159005
0.91,0.91,0,0,0.947259,-0.00257289,0.897739,0.000688496,0.00177327
0.92,0.92,0,0,0.949625,0.0229261,0.90731,0.000705468,0.00194972
0.93,0.93,0,0,0.878113,0.0372514,0.916878,0.000724122,0.00200207
0.94,0.94,0,0,0.922523,0.00782719,0.926431,0.000743249,0.00202776
0.95,0.95,0,0,0.933208,0.0451508,0.935997,0.000762646,0.00207591
